"Type","Injected","Found","Status"
"Ultra_Vulnerable_User","20","0","UNKNOWN"
"COMPUTER_NO_BITLOCKER","18","0","UNKNOWN"
"Computer_Stale_Inactive","17","78","FOUND"
"Computer_Old_Password","17","0","NOT_FOUND"
"Computer_No_LAPS","16","0","UNKNOWN"
"Computer_Pre_Created","15","0","UNKNOWN"
"COMPUTER_LEGACY_PROTOCOL_SMBV1","15","0","UNKNOWN"
"Computer_With_SPNs","12","13","FOUND"
"Computer_SMB_Signing_Disabled","11","0","UNKNOWN"
"Computer_Weak_Encryption","10","0","UNKNOWN"
"StaleAccount","10","539","FOUND"
"Computer_Disabled_Not_Deleted","9","9","FOUND"
"ACL_ForceChangePassword","8","0","UNKNOWN"
"SERVICE_ACCOUNT_NAMING","8","12","FOUND"
"PasswordNeverExpires","8","38","FOUND"
"Computer_Local_Admin_Mapping","8","0","UNKNOWN"
"Computer_Wrong_OU","7","79","FOUND"
"SERVICE_ACCOUNT_WITH_SPN","6","12","FOUND"
"Computer_Unconstrained_Delegation","6","7","FOUND"
"Computer_Sensitive_Description","6","16","FOUND"
"Computer_Weak_LAPS","6","0","UNKNOWN"
"Shared_Account","5","3","FOUND"
"ACL_WriteDACL_OU","5","0","UNKNOWN"
"NotInProtectedUsers","5","26","FOUND"
"Test_Account","5","4","FOUND"
"Weak_Encryption_RC4_With_AES","5","0","UNKNOWN"
"ACL_GenericWrite_User","5","0","UNKNOWN"
"NestedGroupPath","5","0","UNKNOWN"
"SuspiciousAccountName","5","0","UNKNOWN"
"PasswordInDescription","5","5","FOUND"
"Computer_In_Admin_Group","5","5","FOUND"
"AdminCount_Orphaned","5","0","UNKNOWN"
"ACL_AddMember","5","0","UNKNOWN"
"User_Cannot_Change_Password","4","0","UNKNOWN"
"SERVER_NO_ADMIN_GROUP","4","0","UNKNOWN"
"COMPUTER_OS_OBSOLETE_XP","4","4","FOUND"
"Expired_Account_In_Admin_Group","3","0","UNKNOWN"
"SERVICE_ACCOUNT_OLD_PASSWORD","3","12","FOUND"
"ACL_GenericWrite_SensitiveGroup","3","0","UNKNOWN"
"Weak_Encryption_Flag","3","0","UNKNOWN"
"COMPUTER_OS_OBSOLETE_2003","3","3","FOUND"
"Not_In_Protected_Users","3","26","FOUND"
"ExcessivePrivileges_RDP","3","0","UNKNOWN"
"ACL_WriteDACL_SensitiveGroup","3","0","UNKNOWN"
"Kerberoastable_WeakPassword","3","34","FOUND"
"ACL_GenericAll_DA","3","0","UNKNOWN"
"Domain_Admin_In_Description","3","33","FOUND"
"LAPS_PasswordRead","3","0","UNKNOWN"
"ACL_WriteOwner_SensitiveGroup","3","0","UNKNOWN"
"DisabledAccountInPrivGroup","3","0","UNKNOWN"
"COMPUTER_NEVER_LOGGED_ON","3","78","FOUND"
"Kerberoastable","3","34","FOUND"
"ASREPRoastable","3","25","FOUND"
"ExcessivePrivileges_DA","3","0","UNKNOWN"
"Computer_RBCD","3","0","UNKNOWN"
"Smartcard_Not_Required","3","0","UNKNOWN"
"ExcessivePrivileges_PrintOps","2","0","UNKNOWN"
"SIDHistory","2","0","UNKNOWN"
"Computer_ACL_GenericAll","2","0","UNKNOWN"
"UnixUserPassword_Clear","2","0","UNKNOWN"
"PasswordNotRequired","2","23","FOUND"
"SERVICE_ACCOUNT_WEAK_ENCRYPTION","2","12","FOUND"
"SERVICE_ACCOUNT_PRIVILEGED","2","12","FOUND"
"ExcessivePrivileges_AO","2","0","UNKNOWN"
"ExcessivePrivileges_DNS","2","0","UNKNOWN"
"ExcessivePrivileges_BO","2","0","UNKNOWN"
"COMPUTER_OS_OBSOLETE_VISTA","2","2","FOUND"
"ACL_DCSync","2","0","UNKNOWN"
"SERVICE_ACCOUNT_NO_PREAUTH","2","12","FOUND"
"SERVICE_ACCOUNT_INTERACTIVE","2","12","FOUND"
"COMPUTER_OS_OBSOLETE_2008","2","2","FOUND"
"Sensitive_Delegation","2","0","UNKNOWN"
"WriteSPN_Abuse","2","0","UNKNOWN"
"DCSync_Rights","2","0","UNKNOWN"
"Dangerous_Logon_Script","2","0","UNKNOWN"
"Everyone_In_ACLs","2","0","UNKNOWN"
"SeEnableDelegationPrivilege","2","0","UNKNOWN"
"GPO_LinkPoisoning","2","0","UNKNOWN"
"DNS_Admins_Member","2","4","FOUND"
"ExcessivePrivileges_SchemaAdmin","1","0","UNKNOWN"
"Oversized_Group_Critical","1","3","FOUND"
"LAPS_Password_Leaked","1","0","UNKNOWN"
"AUDIT_POLICY_WEAK","1","0","UNKNOWN"
"COMPUTER_DUPLICATE_SPN","1","0","NOT_FOUND"
"Dangerous_Group_Nesting","1","0","UNKNOWN"
"Authenticated_Users_In_ACLs","1","0","UNKNOWN"
"Disabled_Account_In_Admin_Group","1","0","UNKNOWN"
"Orphaned_ACEs","1","0","UNKNOWN"
"Everyone_In_ACL","1","0","UNKNOWN"
"Oversized_Group_High","1","6","FOUND"
"Foreign_Security_Principals","1","0","UNKNOWN"
"ExcessivePrivileges_EnterpriseAdmin","1","0","UNKNOWN"
"Print_Operators_Member","1","19","FOUND"
"UnconstrainedDelegation","1","7","FOUND"
"ConstrainedDelegation","1","17","FOUND"
"ReversibleEncryption","1","21","FOUND"
"Account_Operators_Member","1","20","FOUND"
"Server_Operators_Member","1","11","FOUND"
"GPO_Creator_Owners_Member","1","0","UNKNOWN"
"Shadow_Credentials","1","0","UNKNOWN"
"SuspiciousSIDProperties","1","0","UNKNOWN"
"AdminSDHolder_Backdoor","1","0","UNKNOWN"
"GPO_Password_in_SYSVOL","1","1","FOUND"
"Computer_Pre_Win2000","1","0","UNKNOWN"
"Backup_Operators_Member","1","20","FOUND"
"Empty_Password","1","0","UNKNOWN"
"SMB_V1_ENABLED","1","0","UNKNOWN"
"RECYCLE_BIN_DISABLED","1","0","UNKNOWN"
"ESC11_ICERT_Request_Enforcement","1","0","UNKNOWN"
"LDAP_CHANNEL_BINDING_DISABLED","1","0","UNKNOWN"
"POWERSHELL_LOGGING_DISABLED","1","0","UNKNOWN"
"WEAK_PASSWORD_POLICY","1","0","UNKNOWN"
"ADMIN_SD_HOLDER_MODIFIED","1","0","UNKNOWN"
"ANONYMOUS_LDAP_ACCESS","1","0","UNKNOWN"
"ESC4_Vulnerable_Template_ACL","1","0","UNKNOWN"
"ESC5_PKI_Object_ACL","1","0","UNKNOWN"
"ESC2_Any_Purpose_EKU","1","0","UNKNOWN"
"ESC3_Enrollment_Agent","1","0","UNKNOWN"
"ESC9_No_Security_Extension","1","0","UNKNOWN"
"ESC10_Weak_Certificate_Mapping","1","0","UNKNOWN"
"ESC7_CA_Vulnerable_ACL","1","0","UNKNOWN"
"ESC8_HTTP_Enrollment","1","0","UNKNOWN"
"PATH_SERVICE_TO_DA","1","0","UNKNOWN"
"PATH_GPO_TO_DA","1","0","UNKNOWN"
"PATH_DELEGATION_CHAIN","1","0","UNKNOWN"
"PATH_NESTED_ADMIN","1","0","UNKNOWN"
"Duplicate_SPN","1","0","NOT_FOUND"
"ESC1_Vulnerable_Certificate_Template","1","0","UNKNOWN"
"PATH_CERTIFICATE_ESC","1","0","UNKNOWN"
"PATH_TRUST_LATERAL","1","0","UNKNOWN"
"GPO_AUTHENTICATED_USERS_APPLY","1","0","UNKNOWN"
"GROUP_PROTECTED_USERS_EMPTY","1","0","UNKNOWN"
"GPO_NO_SECURITY_FILTERING","1","0","UNKNOWN"
"GPO_LAPS_NOT_DEPLOYED","1","0","UNKNOWN"
"BUILTIN_MODIFIED","1","0","UNKNOWN"
"PATH_ASREP_TO_ADMIN","1","0","UNKNOWN"
"NTLM_RELAY_OPPORTUNITY","1","0","UNKNOWN"
"KERBEROS_TICKET_LIFETIME_LONG","1","0","UNKNOWN"
