"ADType","DetectorType","ADCount","DetectedCount","Diff"
"COMPUTER_NO_BITLOCKER","COMPUTER_NO_BITLOCKER","79","13","-66"
"Computer_No_LAPS","COMPUTER_NO_LAPS","79","1","-78"
"Computer_With_SPNs","COMPUTER_WITH_SPNS","13","18","5"
"Computer_Weak_Encryption","COMPUTER_WEAK_ENCRYPTION","11","10","-1"
"SERVICE_ACCOUNT_NAMING","SERVICE_ACCOUNT_NAMING","12","3","-9"
"PasswordNeverExpires","PASSWORD_NEVER_EXPIRES","38","39","1"
"Computer_Wrong_OU","COMPUTER_WRONG_OU","79","1","-78"
"SERVICE_ACCOUNT_WITH_SPN","SERVICE_ACCOUNT_WITH_SPN","12","33","21"
"Computer_Unconstrained_Delegation","COMPUTER_UNCONSTRAINED_DELEGATION","7","7","0"
"Computer_Sensitive_Description","COMPUTER_DESCRIPTION_SENSITIVE","16","21","5"
"Shared_Account","SHARED_ACCOUNT","4","15","11"
"NotInProtectedUsers","NOT_IN_PROTECTED_USERS","26","27","1"
"Test_Account","TEST_ACCOUNT","4","4","0"
"PasswordInDescription","PASSWORD_IN_DESCRIPTION","5","3","-2"
"Computer_In_Admin_Group","COMPUTER_IN_ADMIN_GROUP","5","5","0"
"AdminCount_Orphaned","EXCESSIVE_PRIVILEGED_ACCOUNTS","40","45","5"
"SERVER_NO_ADMIN_GROUP","SERVER_NO_ADMIN_GROUP","1","2","1"
"COMPUTER_OS_OBSOLETE_XP","COMPUTER_OS_OBSOLETE_XP","4","4","0"
"Expired_Account_In_Admin_Group","EXPIRED_ACCOUNT_IN_ADMIN_GROUP","2","3","1"
"SERVICE_ACCOUNT_OLD_PASSWORD","SERVICE_ACCOUNT_OLD_PASSWORD","12","36","24"
"Weak_Encryption_Flag","WEAK_ENCRYPTION_FLAG","19","19","0"
"COMPUTER_OS_OBSOLETE_2003","COMPUTER_OS_OBSOLETE_2003","3","3","0"
"Not_In_Protected_Users","NOT_IN_PROTECTED_USERS","26","27","1"
"Kerberoastable_WeakPassword","KERBEROASTING_RISK","34","34","0"
"Domain_Admin_In_Description","DOMAIN_ADMIN_IN_DESCRIPTION","33","29","-4"
"DisabledAccountInPrivGroup","DISABLED_ACCOUNT_IN_ADMIN_GROUP","1","2","1"
"COMPUTER_NEVER_LOGGED_ON","COMPUTER_NEVER_LOGGED_ON","78","69","-9"
"Kerberoastable","KERBEROASTING_RISK","34","34","0"
"ASREPRoastable","ASREP_ROASTING_RISK","25","25","0"
"Smartcard_Not_Required","SMARTCARD_NOT_REQUIRED","60","55","-5"
"Computer_ACL_GenericAll","ACL_GENERICALL","50","790","740"
"UnixUserPassword_Clear","UNIX_USER_PASSWORD","541","541","0"
"PasswordNotRequired","PASSWORD_NOT_REQUIRED","23","23","0"
"SERVICE_ACCOUNT_WEAK_ENCRYPTION","SERVICE_ACCOUNT_WEAK_ENCRYPTION","12","2","-10"
"SERVICE_ACCOUNT_PRIVILEGED","SERVICE_ACCOUNT_PRIVILEGED","12","19","7"
"COMPUTER_OS_OBSOLETE_VISTA","COMPUTER_OS_OBSOLETE_VISTA","2","2","0"
"SERVICE_ACCOUNT_NO_PREAUTH","SERVICE_ACCOUNT_NO_PREAUTH","12","22","10"
"SERVICE_ACCOUNT_INTERACTIVE","SERVICE_ACCOUNT_INTERACTIVE","12","27","15"
"COMPUTER_OS_OBSOLETE_2008","COMPUTER_OS_OBSOLETE_2008","2","1","-1"
"Sensitive_Delegation","SENSITIVE_DELEGATION","19","12","-7"
"DNS_Admins_Member","DNS_ADMINS_MEMBER","4","4","0"
"Oversized_Group_Critical","OVERSIZED_GROUP_HIGH","3","2","-1"
"Dangerous_Group_Nesting","DANGEROUS_GROUP_NESTING","7","3","-4"
"Disabled_Account_In_Admin_Group","DISABLED_ACCOUNT_IN_ADMIN_GROUP","1","2","1"
"Oversized_Group_High","OVERSIZED_GROUP_HIGH","6","2","-4"
"Print_Operators_Member","PRINT_OPERATORS_MEMBER","19","19","0"
"UnconstrainedDelegation","UNCONSTRAINED_DELEGATION","7","20","13"
"ConstrainedDelegation","CONSTRAINED_DELEGATION","17","1","-16"
"ReversibleEncryption","REVERSIBLE_ENCRYPTION","21","21","0"
"Account_Operators_Member","ACCOUNT_OPERATORS_MEMBER","20","20","0"
"Server_Operators_Member","SERVER_OPERATORS_MEMBER","11","11","0"
"GPO_Creator_Owners_Member","GPO_MODIFY_RIGHTS","12","12","0"
"AdminSDHolder_Backdoor","ADMINSDHOLDER_BACKDOOR","1","1","0"
"Backup_Operators_Member","BACKUP_OPERATORS_MEMBER","20","20","0"
"Empty_Password","PASSWORD_NOT_REQUIRED","23","23","0"
"RECYCLE_BIN_DISABLED","RECYCLE_BIN_DISABLED","1","1","0"
"WEAK_PASSWORD_POLICY","WEAK_PASSWORD_POLICY","1","1","0"
"BUILTIN_MODIFIED","BUILTIN_MODIFIED","12","4","-8"
