"type","count","severity"
"COMPUTER_ACL_ABUSE","95","high"
"WRITESPN_ABUSE","92","medium"
"ACL_WRITE_PROPERTY_EXTENDED","90","medium"
"EVERYONE_IN_ACL","790","medium"
"ACL_WRITEDACL","790","high"
"ACL_WRITEOWNER","790","high"
"ACL_SELF_MEMBERSHIP","790","high"
"GPO_ORPHANED","7","medium"
"GROUP_EXCESSIVE_MEMBERS","6","medium"
"GPO_WEAK_PERMISSIONS","6","medium"
"NO_PROTECTED_USERS_MONITORING","55","medium"
"ADMIN_NO_SMARTCARD","55","medium"
"NEVER_LOGGED_ON","533","medium"
"LOCKED_ACCOUNT_ADMIN","42","high"
"ESC3_ENROLLMENT_AGENT","4","high"
"ESC1_VULNERABLE_TEMPLATE","4","critical"
"ESC3_ENROLLMENT_AGENT","4","high"
"DANGEROUS_BUILTIN_MEMBERSHIP","4","medium"
"ACL_FORCECHANGEPASSWORD","3","medium"
"ACL_USER_FORCE_CHANGE_PASSWORD","3","medium"
"GROUP_EXCESSIVE_MEMBERS","3","medium"
"ESC2_ANY_PURPOSE","3","high"
"ESC2_ANY_PURPOSE","3","high"
"PATH_KERBEROASTING_TO_DA","23","critical"
"PRIVILEGED_ACCOUNT_SPN","22","high"
"PATH_ASREP_TO_ADMIN","20","high"
"PATH_SERVICE_TO_DA","19","critical"
"ESC9_NO_SECURITY_EXTENSION","16","high"
"ADMIN_COUNT_ORPHANED","15","medium"
"REPLICA_DIRECTORY_CHANGES","1","critical"
"PATH_DELEGATION_CHAIN","1","high"
"NTLM_RELAY_OPPORTUNITY","1","medium"
"PATH_CERTIFICATE_ESC","1","critical"
"MACHINE_ACCOUNT_QUOTA_ABUSE","1","medium"
"PATH_COMPUTER_TAKEOVER","1","high"
"ACL_DS_REPLICATION_GET_CHANGES","1","critical"
"ACL_COMPUTER_WRITE_VALIDATED_DNS","1","medium"
"ESC11_ICERT_REQUEST_ENFORCEMENT","1","medium"
"ESC1_VULNERABLE_TEMPLATE","1","high"
"GPO_WEAK_PASSWORD_POLICY","1","medium"
"GROUP_PROTECTED_USERS_EMPTY","1","medium"
"GPO_UNLINKED","1","low"
"GPO_LINK_POISONING","1","medium"
"ESC8_HTTP_ENROLLMENT","0","medium"
"ESC10_WEAK_CERTIFICATE_MAPPING","0","high"
"ESC6_EDITF_FLAG","0","high"
"ESC7_CA_VULNERABLE_ACL","0","high"
"ESC4_VULNERABLE_TEMPLATE_ACL","0","critical"
"ESC5_PKI_OBJECT_ACL","0","medium"
